1010::postcode::SE11RB,51.501054584x-0.0956229787909
1010::postcode::G4 0BE,55.8663475x-4.2559771
1010::postcode::B495ET,52.2169278626x-1.87671170503
1010::postcode::RH11ET,51.240281188x-0.173388943596
1010::postcode::1878,None
1010::postcode::44290,None
1010::postcode::CH600BD,53.3245872308x-3.09312242072
1010::postcode::1885,46.304496x7.0407174
1010::postcode::HD89DA,None
1010::postcode::CT10 1PH,51.3569687x1.4362573
1010::postcode::HA55BP,None
1010::postcode::SA487HH,None
1010::postcode::xxx,None
1010::postcode::NE657TB,55.309916578x-1.91198604396
1010::postcode::ST44EE,52.9956983022x-2.18230666105
1010::postcode::CF313SH,None
1010::postcode::WF103FH,None
1010::postcode::13763Jordbro,None
1010::postcode::HP66LD,51.6786839567x-0.593356169318
1010::postcode::LS85HS,53.8127713037x-1.51696534587
1010::postcode::NN15HB,None
1010::postcode::CV14AN,52.4094428936x-1.51551090661
1010::postcode::CB2 7AD,52.19701x0.1217943
1010::postcode::S5 0RG,53.4300559x-1.4405667
1010::postcode::BS10 6BF,51.4998539x-2.6132797
1010::postcode::BB11 2LP,53.7822035x-2.2450568
1010::postcode::CV14EQ,52.418645785x-1.51041081124
1010::postcode::BS10 6DY,51.5053891x-2.6018132
1010::postcode::2665LP,None
1010::postcode::CF314AZ,None
1010::postcode::77704,None
1010::postcode::BL9 6BU,53.5994716677x-2.28352620262
1010::postcode::Co.Wexford,None
1010::postcode::77712,None
1010::postcode::CV14JL,52.41791446x-1.51183044754
1010::postcode::HP66XD,51.675532228x-0.607309145111
1010::postcode::LU1 4BP,51.853976x-0.4319087
1010::postcode::SW1H9LL,51.4995537715x-0.13146002729
1010::postcode::AL73RP,None
1010::postcode::SN56PE,None
1010::postcode::3053PH,None
1010::postcode::LU1 4EE,51.8643667x-0.4581545
1010::postcode::RG279ST,None
1010::postcode::SA154AF,51.6873594195x-4.20553892238
1010::postcode::CW121BN,53.16298233x-2.21092511193
1010::postcode::sk16 4rg,53.4721826x-2.1019079
1010::postcode::BT489JF,54.9969303x-7.3328226
1010::postcode::1970,None
1010::postcode::1689RA,None
1010::postcode::CA287RJ,54.5448085362x-3.58548575305
1010::postcode::SW1A0AA,None
1010::postcode::BN21 2XR,None
1010::postcode::WF104JB,53.7250226x-1.3469541
1010::postcode::T3J1P7,None
1010::postcode::G523PD,55.8423529552x-4.36261746268
1010::postcode::SA488RJ,52.2214302216x-4.17181361201
1010::postcode::ST17 4JL,52.7896160989x-2.10085030314
1010::postcode::HA3 0RD,51.5815219x-0.3001907
"1010::postcode::P.O.Box:190-Hohoe,Voltaregion",None
1010::postcode::SN5 8WQ,51.5528505x-1.8084883
1010::postcode::nr528if,None
1010::postcode::DE564GS,52.9857969788x-1.49102231241
1010::postcode::CB2 8DR,52.1886641x0.1293556
1010::postcode::EH8 8BG,None
1010::postcode::BS10 7DL,None
1010::postcode::WF104WL,53.7164438379x-1.39031740428
1010::postcode::SP2 7DG,51.0767794406x-1.80677468251
1010::postcode::L27 3YA,53.3852983x-2.8476939
1010::postcode::AL74LH,51.784139802x-0.192186104185
1010::postcode::m28 7fj,53.5173732x-2.3909597
1010::postcode::6651JP,None
1010::postcode::DT11 7SQ,50.8616828x-2.1698261
1010::postcode::NR147DN,52.5968315818x1.38706911343
1010::postcode::11000,None
1010::postcode::44430,41.2518907x-80.9097127
1010::postcode::xxxx,None
1010::postcode::hd1 2rl,53.6459785x-1.7894864
1010::postcode::11030,None
1010::postcode::CB2 8PX,None
1010::postcode::IP44EP,52.0619982148x1.18116747836
1010::postcode::11047,None
1010::postcode::NE22 7DL,55.1452605x-1.5854671
1010::postcode::44479,None
1010::postcode::HD11JY,None
1010::postcode::KT22 3MD,49.7478468x10.0667527
1010::postcode::GU15 1AH,51.3308186x-0.7067001
1010::postcode::SA155HU,None
1010::postcode::M607HJ,53.4753074267x-2.24210821571
1010::postcode::PE26XU,52.5402715754x-0.316925103773
1010::postcode::462001,None
1010::postcode::NR147QP,52.5808511651x1.3382794575
1010::postcode::CO61QH,51.8762577413x0.686821279411
1010::postcode::SanJosé,None
1010::postcode::SW1A1AA,51.5010096116x-0.14158706711
1010::postcode::SA73 1SA,51.7112274x-4.9526344
1010::postcode::SW2 1BZ,51.4584499x-0.1141673
1010::postcode::SW2 1ED,51.4600185x-0.1121737
1010::postcode::EX23 0JS,50.732073x-4.6161247
1010::postcode::GL510HG,51.9066325906x-2.11635674563
1010::postcode::YO19 5XL,53.9902823x-0.9721701
1010::postcode::RH191QY,None
1010::postcode::ST46QG,53.0040217643x-2.21487240312
1010::postcode::BD24 9EB,54.0687791x-2.2781136
1010::postcode::SK223JS,53.3586210159x-2.00884059191
1010::postcode::BD24 9EJ,54.0687741x-2.2763563
1010::postcode::SW2 1JN,51.4609x-0.1133033
1010::postcode::DE231GG,52.8932116241x-1.50282388213
1010::postcode::RG24 8GX,None
1010::postcode::CB2 9FS,None
1010::postcode::GU15 1RF,51.3307815x-0.7000984
1010::postcode::BR40BA,51.3775489571x-0.00693473139206
1010::postcode::MK43 7RE,52.1684570329x-0.519810861449
1010::postcode::1357DD,None
1010::postcode::DT11 8RH,50.8682953817x-2.12510109649
1010::postcode::PH263HU,None
1010::postcode::SW2 1RW,51.460662x-0.1169552
1010::postcode::77430champagnesurseine,None
1010::postcode::M41 6AP,None
1010::postcode::EH8 9JW,55.9437259x-3.1839753
1010::postcode::PH263JF,None
1010::postcode::PA34 4DX,56.408482x-5.4660094
1010::postcode::IP45BB,52.0563555869x1.17762947371
1010::postcode::BD24 9PR,54.0979487x-2.1929843
1010::postcode::CV23 9BR,52.3645654x-1.2974393
1010::postcode::NG63LH,None
1010::postcode::PH2 7HF,56.4036219904x-3.42576004671
1010::postcode::KW17 2JA,59.0632913x-3.2235585
1010::postcode::ne65pa,54.9790116586x-1.59147707086
1010::postcode::NR148JP,None
1010::postcode::11160,None
1010::postcode::11181,None
1010::postcode::SG7 5PG,None
1010::postcode::HU91SD,None
1010::postcode::TE15 1EW,None
1010::postcode::IP45JA,52.0565009152x1.18589770599
1010::postcode::SA73 2LQ,51.7157276x-5.0308546
1010::postcode::SN58WQ,None
1010::postcode::DC20008,None
1010::postcode::N2 8DJ,51.5924282x-0.1697502
1010::postcode::KY11 8RF,56.0597346x-3.4270284
1010::postcode::CV23 9NH,52.3504714x-1.3991025
1010::postcode::SW1A2AH,51.5024615025x-0.127710109669
1010::postcode::SW1A2AP,None
1010::postcode::SW1A2AW,None
1010::postcode::NR148SZ,52.6144521014x1.31459549604
1010::postcode::SW1A2Ah,51.5024615025x-0.127710109669
1010::postcode::SW1A2BN,51.5069992023x-0.129743254456
1010::postcode::CA15 6RP,None
1010::postcode::SE12 8RN,51.4559731x0.0120968
1010::postcode::LL137EN,53.0352228313x-2.99447446382
1010::postcode::L78SS,None
1010::postcode::YO126NS,None
1010::postcode::E173BD,51.5859741175x-0.0144271213315
1010::postcode::mk78eg,None
1010::postcode::8351HA,None
1010::postcode::RM12 4YB,51.5532452x0.2081838
1010::postcode::SK224NR,53.366872855x-1.99603842131
1010::postcode::38000,None
1010::postcode::38002,None
1010::postcode::GL511QB,None
1010::postcode::SG7 6DZ,None
1010::postcode::44600,None
1010::postcode::7107AR,None
1010::postcode::44614,40.8838556x-81.5925427
1010::postcode::RG24 9NH,51.2797645x-1.1271541
1010::postcode::763041,None
1010::postcode::IV253SH,57.8807161104x-4.0292110252
1010::postcode::11201,None
1010::postcode::11222,40.7291061x-73.9565551
1010::postcode::38090,None
1010::postcode::11231,None
1010::postcode::EH278EN,None
1010::postcode::200120,None
"1010::postcode::Puntarenas,PeninsuladeOsa",None
1010::postcode::KY11 9JE,56.0451595x-3.3479704
1010::postcode::LS131DN,53.8197572262x-1.65587143479
1010::postcode::632014,None
1010::postcode::1024MB,None
1010::postcode::KA67SJ,55.3240106139x-4.40276759071
1010::postcode::WR141GQ,52.1247260232x-2.30057593509
1010::postcode::KA67TW,55.3121446895x-4.39642344793
1010::postcode::3311CS,None
1010::postcode::3311CV,None
1010::postcode::BOXSC488TEMA,None
1010::postcode::PE28XF,None
1010::postcode::RH15LA,51.2037202292x-0.159303744898
1010::postcode::BL53DU,53.5523698749x-2.52185967956
1010::postcode::SK1 3AH,53.4084298x-2.157338
1010::postcode::GU15 3DX,None
1010::postcode::DL85QA,None
1010::postcode::BS9 3AW,None
1010::postcode::70105,None
1010::postcode::heredia,None
1010::postcode::4033JD,None
1010::postcode::L0B1K0,None
1010::postcode::BT79 7AH,54.6011884x-7.3018057
1010::postcode::WR141WD,None
1010::postcode::SE37UD,51.4786324043x0.00703144913581
1010::postcode::1613KL,None
1010::postcode::DY28QY,52.5076116297x-2.08620526029
1010::postcode::9728RJ,None
1010::postcode::WV4 4NT,52.5656019x-2.1771224
1010::postcode::3900AL,None
1010::postcode::Nw3 3el,51.5451142326x-0.164207185958
1010::postcode::CR98AB,51.3823000865x-0.0563515388821
1010::postcode::E174JF,None
1010::postcode::3311VR,None
1010::postcode::eh260qf,55.8403938199x-3.21162074324
1010::postcode::HD14EZ,53.6463218487x-1.79730226672
1010::postcode::11300,None
1010::postcode::SW2 3UP,51.4441524189x-0.109704915524
1010::postcode::WF5 ONZ,53.6771436x-1.557711
1010::postcode::BS9 3UU,51.48341x-2.623183
1010::postcode::W91EL,None
1010::postcode::SK1 3XE,53.4059744x-2.1584871
1010::postcode::KA27 8AZ,55.576107x-5.1470802
1010::postcode::CA11 OJF,54.616488x-2.8358044
1010::postcode::2715Terrugem,None
1010::postcode::HD9 1EH,None
1010::postcode::1025LS,None
1010::postcode::CB4 0DN,52.230938x0.1583967
1010::postcode::BN6 8UJ,None
1010::postcode::GU32 2DP,51.0188488x-0.9463638
1010::postcode::SE38EY,None
1010::postcode::SK26TH,None
1010::postcode::SW1W0BS,None
1010::postcode::GU15 4AE,51.3497229x-0.721691
1010::postcode::cv130qb,52.6596175409x-1.38592902834
1010::postcode::RH16JX,None
1010::postcode::LS132JG,53.8155698955x-1.62329659351
1010::postcode::97000,None
1010::postcode::97008,None
1010::postcode::ba33up,51.2826925958x-2.46774560165
1010::postcode::SW1E 5AE,51.4968132x-0.1435302
1010::postcode::LA45AH,54.077067286x-2.85697760684
1010::postcode::HD14TR,53.6423152692x-1.80400707709
1010::postcode::3312GW,None
1010::postcode::97034,None
1010::postcode::KA27 8LR,55.5336743x-5.1291514
1010::postcode::KA27 8NG,None
1010::postcode::SW1E 5DU,None
1010::postcode::WF17 8AS,None
1010::postcode::IM12qd,None
1010::postcode::S65 1EG,53.4326344668x-1.35285771603
1010::postcode::WC1E6BT,51.5247731277x-0.133426265425
1010::postcode::WR142RP,52.1246769108x-2.31591271011
1010::postcode::IP238EE,52.3275836261x1.07331549186
1010::postcode::SW1E 5HE,51.4992645x-0.1421628
1010::postcode::93589-Saint-OuenCedex,None
1010::postcode::M210SW,53.4444290566x-2.2726305699
1010::postcode::E175ED,51.6006038557x-0.0287632075952
1010::postcode::OL10 2DY,53.5891009x-2.2024839
1010::postcode::1948NW,None
1010::postcode::IP172NP,52.2269039238x1.49011255354
1010::postcode::SW1W0RE,51.4973288981x-0.14481988417
1010::postcode::E175HT,51.5978245853x-0.0260535096142
1010::postcode::CB4 0WS,52.235259x0.1537001
1010::postcode::TS233DX,None
1010::postcode::38220,None
1010::postcode::SO211JH,50.9909480305x-1.27959472983
1010::postcode::IP172QJ,52.2283091922x1.47999894134
1010::postcode::07400LETEIL,None
1010::postcode::ln58pw,53.2082125x-0.5464142
1010::postcode::SW1E 5RS,51.4974218511x-0.141603339986
1010::postcode::L234UL,53.5002718145x-3.00787555345
1010::postcode::W92AN,None
1010::postcode::11401,None
1010::postcode::ML3 9BG,55.7762796x-4.0547998
1010::postcode::HU94LA,53.7583189385x-0.253923811526
1010::postcode::WR143AF,52.1109149569x-2.32488336858
1010::postcode::560001,None
1010::postcode::W92EQ,51.5258630497x-0.192689054723
1010::postcode::HP201SD,51.8163335851x-0.808691728998
1010::postcode::3581CP,None
1010::postcode::sw74rl,51.495586778x-0.184623529391
1010::postcode::bs79nl,None
1010::postcode::CB4 1AX,52.2171515x0.1327823
1010::postcode::NE263RF,55.0443405776x-1.45168726774
1010::postcode::B30 1DY,52.4171527x-1.9415696
1010::postcode::560037,None
1010::postcode::HP201UY,51.8145272064x-0.812337082892
1010::postcode::HP201UZ,51.8145272064x-0.812337082892
1010::postcode::3581GE,None
1010::postcode::B421QX,None
1010::postcode::GU32 3EH,51.005507x-0.9407368
1010::postcode::3581HK,None
1010::postcode::3581HP,None
1010::postcode::KW1 4RX,58.4867803x-3.1634292
1010::postcode::LS133JT,None
1010::postcode::B30 1JB,52.4168234x-1.9309985
1010::postcode::97125,None
1010::postcode::wa129xz,None
1010::postcode::WR143NZ,52.1026025051x-2.31012116242
1010::postcode::KT22 7SW,None
1010::postcode::97150,None
1010::postcode::2744-016PortoSalvo,None
1010::postcode::SW2 5DZ,51.4577878x-0.1278407
1010::postcode::Co Dublin,53.344104x-6.2674937
1010::postcode::WC1E7BT,None
1010::postcode::CR20BJ,None
1010::postcode::IP173HY,52.2714847634x1.50150471118
1010::postcode::SW2 5HP,None
1010::postcode::WC1E7EA,None
1010::postcode::75015Paris,None
1010::postcode::T1Y4W6,None
1010::postcode::M210uj,53.442505395x-2.26871904713
1010::postcode::N70HJ,51.5544498776x-0.129571828555
1010::postcode::NG67AY,52.994275282x-1.21794901999
1010::postcode::WC1E7HT,51.5209256639x-0.130686275643
1010::postcode::N70JE,None
1010::postcode::WC1E7HX,None
1010::postcode::WC1E7HY,None
1010::postcode::E7 8QJ,51.5427716x0.0422287
1010::postcode::SW1W1RT,None
1010::postcode::LA46PN,None
1010::postcode::GL194JG,51.9309447673x-2.27315780854
1010::postcode::SO212LA,51.0214607716x-1.39227003307
1010::postcode::TS234HJ,None
1010::postcode::TN30 6LT,51.076742x0.6938959
1010::postcode::L235TH,None
1010::postcode::11500,None
1010::postcode::B756LN,None
1010::postcode::PO326QY,50.7581233033x-1.28873146849
1010::postcode::N70RN,51.5565720231x-0.118319221308
1010::postcode::SO212PJ,None
1010::postcode::mk437lp,52.1928246351x-0.601764602741
1010::postcode::IG11 8JA,51.5413645x0.0752626
1010::postcode::5012AR,None
1010::postcode::W93DY,51.5276241035x-0.199611313809
1010::postcode::oo975,None
1010::postcode::B756RE,52.5853058716x-1.81468233323
1010::postcode::LS134EH,53.7996330547x-1.63752866851
1010::postcode::11570,None
1010::postcode::WS70AJ,None
1010::postcode::HD16PG,53.6546475088x-1.76892339387
1010::postcode::3059XT,None
1010::postcode::97201,None
1010::postcode::97207,None
1010::postcode::KT153HW,None
1010::postcode::nr134aa,None
1010::postcode::97216,None
1010::postcode::IG11 8UN,51.5453184x0.0931391
1010::postcode::DL5 7DE,54.6216107x-1.5873045
1010::postcode::tr21 0na,49.9139859x-6.3091069
1010::postcode::97225,None
1010::postcode::97227,None
1010::postcode::W93RB,51.5236097953x-0.199957045151
1010::postcode::9665MZ,None
1010::postcode::E7 9HD,51.546153x0.0245824
1010::postcode::WR144PZ,52.1113497814x-2.33017260709
1010::postcode::9665PA,None
1010::postcode::HA3 6RR,None
1010::postcode::CT119BB,51.3332470777x1.41542767544
1010::postcode::E7 9PR,51.5404234x0.0230879
1010::postcode::IG11 9AG,51.542642x0.1014962
1010::postcode::BS374DX,None
1010::postcode::3648XP,None
1010::postcode::1028BB,None
1010::postcode::2011JGHaarlem,None
1010::postcode::5281CD,None
1010::postcode::38450,None
1010::postcode::RG53BH,51.4590268494x-0.908078559839
1010::postcode::DE236NL,52.9065259494x-1.48823427858
1010::postcode::3660-061Carvalhais-S.PedrodoSul,None
1010::postcode::DY117RA,52.366058615x-2.24399630099
1010::postcode::BS106BF,None
1010::postcode::38473,None
1010::postcode::OL10 4NN,53.5936223x-2.2176744
1010::postcode::T2N2G5,None
1010::postcode::BS106DY,None
1010::postcode::L7 3EA,53.4067538x-2.9605645
1010::postcode::RG141AS,51.4053958058x-1.32537748172
1010::postcode::N4 1NY,51.5774919x-0.0907413
1010::postcode::3314ax,None
1010::postcode::3583HM,None
1010::postcode::SO45 5DF,50.8680267x-1.408875
1010::postcode::KY25LY,56.1006426691x-3.1722617601
1010::postcode::5347KM,None
1010::postcode::97304,None
1010::postcode::SP52HU,None
1010::postcode::B3 1UE,None
1010::postcode::IG11 9UW,51.5425212x0.0901407
1010::postcode::IP7 7NF,52.1258393x0.8986882
1010::postcode::BS106SP,51.5102794844x-2.61771398069
1010::postcode::B30 3QA,None
1010::postcode::E178AP,None
1010::postcode::RG207LY,51.5272161002x-1.28166058352
1010::postcode::SP52QE,None
1010::postcode::1700-360,None
1010::postcode::B169SL,None
1010::postcode::5602BA,None
1010::postcode::E178EN,51.5722042362x-0.0286933204901
1010::postcode::RG141TB,51.4084662836x-1.32769024108
1010::postcode::KW163HA,None
1010::postcode::2605-Belas,None
1010::postcode::N4 2DR,51.5622071x-0.1008605
1010::postcode::SE146TJ,51.4748852878x-0.0270454720201
1010::postcode::B95RX,52.4838633941x-1.83241065604
1010::postcode::0816-07996,None
1010::postcode::05140,None
1010::postcode::11704,None
1010::postcode::8022PJ,None
1010::postcode::SY75NF,None
1010::postcode::RG54DZ,51.4523372088x-0.895630967109
1010::postcode::6500HGNijmegen,None
1010::postcode::3584AA,None
1010::postcode::BS107DL,51.5076919938x-2.61731875612
1010::postcode::BH317QB,50.881576849x-1.88267793346
1010::postcode::LS14AX,53.7988656193x-1.55866369831
1010::postcode::N4 2LN,51.5662458x-0.0970417
1010::postcode::5282JE,None
1010::postcode::SW10 9LQ,51.4868281174x-0.18636857228
1010::postcode::BS375NG,51.5478575667x-2.43238872016
1010::postcode::KY26HZ,None
1010::postcode::DN329ET,53.5494377335x-0.0728514101873
1010::postcode::3584HL,None
1010::postcode::SO45 6ET,50.8635854x-1.3967538
1010::postcode::LS14HT,53.795491999x-1.55056206983
1010::postcode::1620ARHoorn,None
1010::postcode::SP53HN,50.9905681321x-1.75689425146
1010::postcode::N4 2SZ,51.5613681x-0.0940425
1010::postcode::97401,44.0637173x-123.0847061
1010::postcode::WS122TW,None
1010::postcode::3904TG,None
1010::postcode::PL254QJ,None
1010::postcode::DE7 4HX,52.9627842x-1.3282264
1010::postcode::SG9 0DN,51.9703655x0.034127
1010::postcode::KY26QJ,56.1350085487x-3.20336524308
1010::postcode::PE28 0EA,52.2952134x-0.3893314
1010::postcode::64000,None
1010::postcode::tw10 6qh,51.4565758x-0.2984884
1010::postcode::97436,None
1010::postcode::97438,None
1010::postcode::BS375XO,None
1010::postcode::BS375XP,None
1010::postcode::E50PH,None
1010::postcode::97460,None
1010::postcode::HU18 1DW,53.9138821x-0.1740204
1010::postcode::BA14 8JN,None
1010::postcode::97490,None
1010::postcode::CT91LU,51.3853904858x1.38420644706
1010::postcode::G720FD,55.7804464708x-4.10340311539
1010::postcode::CT91NB,51.3846418347x1.38832005128
1010::postcode::st44db,52.9876583612x-2.19033158486
1010::postcode::GL51 1QB,51.897906x-2.1251347
1010::postcode::E179HU,51.5827852255x-0.00720465211582
1010::postcode::CT91PW,51.3877315145x1.38537128774
1010::postcode::E179JH,51.5806695253x-0.00811993189166
1010::postcode::E179JT,51.5817356875x-0.012129251179
1010::postcode::05201,None
1010::postcode::GL517SJ,51.9016497426x-2.11827690194
1010::postcode::CT91UY,51.3844524762x1.38149211803
1010::postcode::LU3 1RJ,51.8920559x-0.4352921
1010::postcode::PR8 4PJ,53.6197062x-3.0150277
1010::postcode::E179QW,None
1010::postcode::dl81sh,54.3021690017x-1.66935090595
1010::postcode::PL255HE,50.3374765759x-4.79896589422
1010::postcode::NG220AB,53.172191375x-0.94816713199
1010::postcode::N4 3LS,51.5670716x-0.115895
1010::postcode::SA43DB,None
1010::postcode::5283KE,None
1010::postcode::SA43DL,51.6425878276x-4.0361514942
1010::postcode::PA4 9RE,55.8827771x-4.4481907
1010::postcode::BS48 1BG,None
1010::postcode::PA4 9RU,55.8794144x-4.4500575
1010::postcode::s212ju,53.3297686875x-1.30207140837
1010::postcode::cv14eq,52.418645785x-1.51041081124
1010::postcode::3905PH,None
1010::postcode::RG209BD,None
1010::postcode::N4 3SD,None
1010::postcode::EX44RN,None
1010::postcode::NR14 8JP,52.564712x1.2341537
1010::postcode::TN131BL,51.2761269415x0.184559620649
1010::postcode::W1g 9QR,51.5177977x-0.146684
1010::postcode::64100,None
1010::postcode::1997Haute-Nendaz,None
1010::postcode::BA14 9EN,51.3172447x-2.2212959
1010::postcode::NR31 6TA,None
1010::postcode::IP11 3SY,51.9463915x1.3225631
1010::postcode::SN12 7NG,51.3740706x-2.1335027
1010::postcode::WA8 7GD,53.3621844x-2.7357808
1010::postcode::SO150DJ,50.9191073279x-1.4654175293
1010::postcode::sn56qr,51.5501224446x-1.8486794598
1010::postcode::BB7 2RA,53.8734556x-2.3915833
1010::postcode::LS6 4AR,53.8247908x-1.5649695
1010::postcode::NR14 8SZ,52.6144521014x1.31459549604
1010::postcode::GL20RD,51.8828708583x-2.20700951663
1010::postcode::G132XD,None
1010::postcode::HU181DW,None
1010::postcode::WA8 7QF,53.3632364x-2.7342812
1010::postcode::122001,None
1010::postcode::ME5 9BT,51.3355233x0.515415
1010::postcode::TN4 9PG,51.1429020656x0.261085819167
1010::postcode::rh12nb,51.2488395295x-0.157144521264
1010::postcode::EX45DZ,None
1010::postcode::05346,None
1010::postcode::PO2 8QH,50.8225108x-1.0871369
1010::postcode::NW117HY,51.5695238287x-0.185287173713
1010::postcode::WS124JH,52.7108465436x-2.01709773463
1010::postcode::LS16AE,None
1010::postcode::BS377LT,51.5658727599x-2.45008856241
1010::postcode::97400StDenis,None
1010::postcode::11944,None
1010::postcode::TN4 9XB,51.1508696x0.2610887
1010::postcode::BS377PA,51.542281411x-2.43278284702
1010::postcode::Se18 6ES,51.4894967x0.0679942
1010::postcode::sn57ex,51.569826018x-1.82524043678
1010::postcode::Sw99TN,None
1010::postcode::OL70NQ,53.4786859488x-2.10813141388
1010::postcode::Zaragoza-Palmares,None
1010::postcode::6045ACRoermond,None
1010::postcode::GL519AL,51.9087312706x-2.09176631483
1010::postcode::TN132AX,51.2816318675x0.162708576883
1010::postcode::CF23 5HQ,51.4993353x-3.1734636
1010::postcode::OL70SH,53.483625311x-2.10280946368
1010::postcode::NR31 7RA,52.5558313x1.7129255
1010::postcode::64210,None
1010::postcode::SO151AP,50.9086354831x-1.41026685262
1010::postcode::CF23 5JG,51.5055954x-3.1642733
1010::postcode::75007Paris,None
1010::postcode::TR24 0QQ,None
1010::postcode::SW12 0HF,None
1010::postcode::SW12 0JA,51.4447438x-0.1428078
1010::postcode::WR10 3NB,52.1018144x-2.0046552
1010::postcode::PE196re,None
1010::postcode::M60 1LP,None
1010::postcode::ML3ORQ,None
1010::postcode::SO151HN,None
1010::postcode::SW12 0NU,51.4471957x-0.1392113
1010::postcode::EN1 1DS,51.6449282x-0.0639594
1010::postcode::GL519NN,51.9186923533x-2.09273176594
1010::postcode::15000AURILLAC,None
1010::postcode::BR49AE,51.3750313068x-0.00431400914804
1010::postcode::PR8 6JU,None
1010::postcode::EC1M5NG,51.5220843954x-0.105383967286
1010::postcode::DL7 0BD,54.4228976x-1.5276389
1010::postcode::05405,None
1010::postcode::PE28 2TH,52.409258x-0.0744613
1010::postcode::8000069Faro,None
1010::postcode::SY78JQ,52.4192562569x-3.03150479325
1010::postcode::Da12TN,51.4372893575x0.19628444764
1010::postcode::PR8 6LR,None
1010::postcode::TW1 2AG,51.4566674124x-0.309121704646
1010::postcode::RH121DE,51.0620401081x-0.324010021237
1010::postcode::gl501dx,51.897893861x-2.07077295958
1010::postcode::PA467RF,None
1010::postcode::TR197JX,50.1246846077x-5.68696176953
1010::postcode::EN1 1QU,51.6474816x-0.0650215
1010::postcode::BB72RA,None
1010::postcode::BN8 4BU,50.9458887x-0.0202868
1010::postcode::GL22AF,51.8148121508x-2.27184514818
1010::postcode::EN1 1SH,51.642916x-0.0570064
1010::postcode::RG145DU,51.3967965462x-1.32639511713
1010::postcode::M217GJ,53.4278761161x-2.26286267657
1010::postcode::BS48 3DF,51.3886662x-2.7488227
1010::postcode::B13 9EH,52.4438917x-1.8839661
1010::postcode::EN1 1YF,51.6512227x-0.0677678
1010::postcode::EN1 1YU,51.6521142x-0.079902
1010::postcode::64300,None
1010::postcode::CV344SX,None
1010::postcode::SO152AQ,50.9111057036x-1.40265438402
1010::postcode::LU3 4BJ,51.923296x-0.4470762
1010::postcode::SO152DD,None
1010::postcode::EC1M6EE,51.5207576953x-0.0984191759103
1010::postcode::EC1M6EJ,51.5198945758x-0.103428032518
1010::postcode::7417DBDeventer,None
1010::postcode::B13 9LR,52.4425546x-1.8611225
1010::postcode::gu273al,51.0829526713x-0.712423717444
1010::postcode::M217SL,53.436492581x-2.26446632525
1010::postcode::EH141DP,55.9148389684x-3.23787758886
1010::postcode::3841az,None
1010::postcode::H4J1H9,None
1010::postcode::050000,None
1010::postcode::2460-045Alcobaça,None
1010::postcode::PE28 3RX,52.3671209x-0.2259955
1010::postcode::hd12rl,None
1010::postcode::CF23 6XD,51.5104939x-3.1617612
1010::postcode::W1T 1DG,51.5180516x-0.1337736
1010::postcode::EC1M6PT,None
1010::postcode::N76QT,51.5586833262x-0.117077961174
1010::postcode::TW1 3BZ,None
1010::postcode::BH255SD,50.7775235685x-1.64898796894
1010::postcode::SY79NZ,52.4409089638x-2.83514034122
1010::postcode::CoDublin,None
1010::postcode::SE14 6TJ,51.4748846x-0.027046
1010::postcode::78310Varkaus,None
1010::postcode::EN1 2RG,51.6374527x-0.0719805
1010::postcode::RH122LA,51.066699154x-0.337914451844
1010::postcode::SW1W8AS,None
1010::postcode::L176BZ,53.3729382992x-2.92418060984
1010::postcode::75010PARIS,None
1010::postcode::SW4 0NU,None
1010::postcode::TW13 6RE,51.4330437x-0.3902418
1010::postcode::31000,36.2945803x36.23926
1010::postcode::L7 8SS,53.4080213x-2.9549519
1010::postcode::BN8 5NE,50.8954784x0.0659703
1010::postcode::RG146NQ,51.3798051559x-1.3395762078
1010::postcode::RG146NU,51.379215795x-1.34350726445
1010::postcode::RM14 3BX,51.5571004647x0.254695113666
1010::postcode::HA5 1AF,51.5919613x-0.3874601
1010::postcode::NG1 1PH,None
1010::postcode::TS175BL,54.5181639x-1.3206819
1010::postcode::nr13 4aa,52.6339616x1.4476642
1010::postcode::NG1 1PY,None
1010::postcode::BN8 5RB,50.8954568x0.0671923
1010::postcode::EH142DT,55.9219170109x-3.25940270203
1010::postcode::IP9 1DX,51.9891763x1.2068836
1010::postcode::S7 2DX,53.353850244x-1.48852856768
1010::postcode::LN5 0PA,53.0713862x-0.5602802
1010::postcode::s804jd,53.2628388545x-1.21689755325
1010::postcode::HA5 1HL,None
1010::postcode::SW1W8UP,51.491560517x-0.15253035418
1010::postcode::EN1 3HQ,51.6606189x-0.0753783
1010::postcode::W1T 2DH,51.518282x-0.1341245
1010::postcode::EX48DJ,50.7357757987x-3.48583679321
1010::postcode::CV346EQ,52.2623036661x-1.53677824816
1010::postcode::RM14 3QH,51.5401500204x0.287603131637
1010::postcode::DE61AS,53.0120869973x-1.74465859497
1010::postcode::HA5 1QZ,None
1010::postcode::W1T 2JJ,51.519144x-0.1334839
1010::postcode::cf831nu,51.5763161716x-3.2166176111
1010::postcode::ML41AR,55.8196945312x-4.01809154284
1010::postcode::1811HP,None
1010::postcode::iv35dz,57.4758968471x-4.23619709024
1010::postcode::CV346LA,52.2711617916x-1.60160725426
1010::postcode::DL15QT,54.5235777962x-1.55283561094
1010::postcode::M219FF,None
1010::postcode::EX48NA,50.7360727406x-3.49707000637
1010::postcode::se37ud,51.4786317x0.0070309
1010::postcode::s35 1yx,53.46009x-1.4608211
